,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.0,0.737,0.263,0.3612,1
1,2020-12-13,0.0,1.0,0.0,0.0,0
2,2020-12-13,0.064,0.857,0.079,0.1759,1
3,2020-12-13,0.0,1.0,0.0,0.0,0
4,2020-12-13,0.0,1.0,0.0,0.0,0
5,2020-12-13,0.042,0.89,0.069,0.34,1
6,2020-12-13,0.0,0.946,0.054,0.4019,1
7,2020-12-13,0.052,0.897,0.05,-0.0258,-1
8,2020-12-13,0.0,0.943,0.057,0.4019,1
9,2020-12-13,0.0,0.88,0.12,0.7184,1
10,2020-12-13,0.0,1.0,0.0,0.0,0
11,2020-12-13,0.0,1.0,0.0,0.0,0
12,2020-12-13,0.0,0.88,0.12,0.7184,1
13,2020-12-13,0.0,0.943,0.057,0.4019,1
14,2020-12-13,0.0,0.88,0.12,0.7184,1
15,2020-12-13,0.0,1.0,0.0,0.0,0
16,2020-12-13,0.0,1.0,0.0,0.0,0
17,2020-12-13,0.0,0.943,0.057,0.4019,1
18,2020-12-13,0.0,0.943,0.057,0.4019,1
19,2020-12-13,0.0,0.943,0.057,0.4019,1
20,2020-12-13,0.0,1.0,0.0,0.0,0
21,2020-12-13,0.052,0.897,0.05,-0.0258,-1
22,2020-12-13,0.042,0.89,0.069,0.34,1
23,2020-12-13,0.0,0.946,0.054,0.4019,1
24,2020-12-13,0.2,0.583,0.217,0.0516,1
25,2020-12-13,0.0,1.0,0.0,0.0,0
26,2020-12-13,0.172,0.595,0.233,0.2342,1
27,2020-12-13,0.042,0.89,0.069,0.34,1
28,2020-12-13,0.0,1.0,0.0,0.0,0
29,2020-12-13,0.0,1.0,0.0,0.0,0
30,2020-12-13,0.0,1.0,0.0,0.0,0
31,2020-12-13,0.0,0.924,0.076,0.4184,1
32,2020-12-13,0.048,0.952,0.0,-0.4215,-1
33,2020-12-13,0.0,1.0,0.0,0.0,0
34,2020-12-13,0.0,1.0,0.0,0.0,0
35,2020-12-13,0.0,0.799,0.201,0.743,1
36,2020-12-13,0.0,1.0,0.0,0.0,0
37,2020-12-13,0.032,0.939,0.029,-0.0516,-1
38,2020-12-13,0.027,0.918,0.055,0.34,1
39,2020-12-13,0.0,0.927,0.073,0.4003,1
40,2020-12-13,0.0,1.0,0.0,0.0,0
41,2020-12-13,0.048,0.952,0.0,-0.4215,-1
42,2020-12-13,0.0,1.0,0.0,0.0,0
43,2020-12-13,0.0,1.0,0.0,0.0,0
44,2020-12-13,0.0,0.627,0.373,0.92,1
45,2020-12-13,0.0,0.927,0.073,0.4003,1
46,2020-12-13,0.0,1.0,0.0,0.0,0
47,2020-12-13,0.0,0.884,0.116,0.3612,1
48,2020-12-13,0.0,1.0,0.0,0.0,0
49,2020-12-13,0.0,0.729,0.271,0.8856,1
50,2020-12-13,0.0,0.903,0.097,0.6908,1
51,2020-12-13,0.0,1.0,0.0,0.0,0
52,2020-12-13,0.0,0.927,0.073,0.4588,1
53,2020-12-13,0.037,0.931,0.032,-0.0772,-1
54,2020-12-13,0.024,0.836,0.14,0.7506,1
55,2020-12-13,0.0,1.0,0.0,0.0,0
56,2020-12-13,0.0,1.0,0.0,0.0,0
57,2020-12-13,0.0,1.0,0.0,0.0,0
58,2020-12-13,0.0,1.0,0.0,0.0,0
59,2020-12-13,0.048,0.952,0.0,-0.4215,-1
