,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.0,1.0,0.0,0.0,0
1,2020-12-12,0.051,0.949,0.0,-0.3182,-1
2,2020-12-11,0.0,0.855,0.145,0.296,1
3,2020-12-11,0.0,1.0,0.0,0.0,0
4,2020-12-11,0.0,1.0,0.0,0.0,0
5,2020-12-11,0.0,0.903,0.097,0.4019,1
6,2020-12-11,0.0,1.0,0.0,0.0,0
7,2020-12-10,0.0,1.0,0.0,0.0,0
8,2020-12-10,0.0,0.831,0.169,0.6705,1
9,2020-12-10,0.0,0.831,0.169,0.6705,1
10,2020-12-09,0.0,0.831,0.169,0.6705,1
11,2020-12-09,0.0,0.718,0.282,0.6037,1
12,2020-12-08,0.0,1.0,0.0,0.0,0
13,2020-12-08,0.0,1.0,0.0,0.0,0
14,2020-12-08,0.0,1.0,0.0,0.0,0
15,2020-12-08,0.0,0.75,0.25,0.4588,1
16,2020-12-08,0.0,0.636,0.364,0.4588,1
17,2020-12-08,0.0,1.0,0.0,0.0,0
18,2020-12-07,0.0,1.0,0.0,0.0,0
19,2020-12-07,0.0,1.0,0.0,0.0,0
20,2020-12-07,0.0,1.0,0.0,0.0,0
21,2020-12-07,0.0,1.0,0.0,0.0,0
22,2020-12-07,0.0,1.0,0.0,0.0,0
23,2020-12-07,0.0,0.748,0.252,0.4019,1
24,2020-12-07,0.0,1.0,0.0,0.0,0
25,2020-12-06,0.0,1.0,0.0,0.0,0
26,2020-12-06,0.0,0.927,0.073,0.5267,1
27,2020-12-06,0.0,1.0,0.0,0.0,0
28,2020-12-06,0.0,1.0,0.0,0.0,0
29,2020-12-06,0.075,0.925,0.0,-0.4278,-1
30,2020-12-05,0.0,0.922,0.078,0.4939,1
31,2020-12-05,0.0,0.922,0.078,0.4939,1
32,2020-12-05,0.0,0.922,0.078,0.4939,1
33,2020-12-05,0.0,1.0,0.0,0.0,0
