,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.03,0.97,0.0,-0.128,-1
1,2020-12-13,0.0,0.465,0.535,0.3182,1
2,2020-12-13,0.0,1.0,0.0,0.0,0
3,2020-12-13,0.0,0.833,0.167,0.3818,1
4,2020-12-13,0.0,0.86,0.14,0.3818,1
5,2020-12-13,0.089,0.78,0.131,0.4215,1
6,2020-12-13,0.048,0.889,0.063,0.1779,1
7,2020-12-13,0.048,0.889,0.063,0.1779,1
8,2020-12-13,0.12,0.598,0.283,0.6249,1
9,2020-12-13,0.0,1.0,0.0,0.0,0
10,2020-12-13,0.11,0.89,0.0,-0.357,-1
11,2020-12-13,0.099,0.841,0.059,-0.2905,-1
12,2020-12-13,0.099,0.841,0.059,-0.2905,-1
13,2020-12-13,0.099,0.841,0.059,-0.2905,-1
14,2020-12-13,0.0,0.943,0.057,0.3535,1
15,2020-12-13,0.117,0.78,0.103,0.0516,1
16,2020-12-13,0.117,0.78,0.103,0.0516,1
17,2020-12-12,0.0,0.732,0.268,0.6166,1
18,2020-12-12,0.0,0.967,0.033,0.2023,1
19,2020-12-12,0.0,0.967,0.033,0.2023,1
20,2020-12-12,0.0,0.967,0.033,0.2023,1
21,2020-12-12,0.0,0.967,0.033,0.2023,1
22,2020-12-12,0.0,0.967,0.033,0.2023,1
23,2020-12-12,0.0,0.932,0.068,0.4019,1
24,2020-12-12,0.0,0.75,0.25,0.4576,1
25,2020-12-12,0.0,1.0,0.0,0.0,0
26,2020-12-12,0.0,1.0,0.0,0.0,0
27,2020-12-12,0.0,1.0,0.0,0.0,0
28,2020-12-12,0.0,0.82,0.18,0.296,1
29,2020-12-12,0.0,0.82,0.18,0.296,1
30,2020-12-12,0.0,0.732,0.268,0.6166,1
31,2020-12-12,0.0,0.732,0.268,0.6166,1
32,2020-12-12,0.0,0.82,0.18,0.296,1
33,2020-12-12,0.0,1.0,0.0,0.0,0
34,2020-12-11,0.1,0.813,0.086,-0.0772,-1
35,2020-12-11,0.0,0.912,0.088,0.4423,1
36,2020-12-11,0.0,0.578,0.422,0.743,1
37,2020-12-11,0.0,0.578,0.422,0.743,1
38,2020-12-11,0.0,0.881,0.119,0.4019,1
39,2020-12-11,0.0,0.862,0.138,0.4588,1
40,2020-12-11,0.0,1.0,0.0,0.0,0
41,2020-12-11,0.0,1.0,0.0,0.0,0
42,2020-12-11,0.0,0.674,0.326,0.4404,1
43,2020-12-11,0.0,0.881,0.119,0.4019,1
44,2020-12-11,0.0,0.801,0.199,0.6908,1
45,2020-12-11,0.0,1.0,0.0,0.0,0
46,2020-12-11,0.0,1.0,0.0,0.0,0
47,2020-12-11,0.0,0.826,0.174,0.8126,1
48,2020-12-11,0.0,1.0,0.0,0.0,0
49,2020-12-11,0.0,1.0,0.0,0.0,0
50,2020-12-11,0.0,1.0,0.0,0.0,0
51,2020-12-11,0.0,1.0,0.0,0.0,0
52,2020-12-11,0.0,1.0,0.0,0.0,0
53,2020-12-11,0.0,1.0,0.0,0.0,0
54,2020-12-11,0.0,1.0,0.0,0.0,0
55,2020-12-11,0.0,1.0,0.0,0.0,0
56,2020-12-11,0.0,1.0,0.0,0.0,0
57,2020-12-11,0.0,0.801,0.199,0.6908,1
58,2020-12-11,0.0,1.0,0.0,0.0,0
59,2020-12-11,0.0,0.741,0.259,0.4215,1
60,2020-12-11,0.0,1.0,0.0,0.0,0
61,2020-12-10,0.05,0.748,0.202,0.8271,1
62,2020-12-10,0.0,0.862,0.138,0.4588,1
63,2020-12-10,0.0,0.92,0.08,0.3818,1
64,2020-12-10,0.0,0.92,0.08,0.3818,1
65,2020-12-10,0.0,0.92,0.08,0.3818,1
66,2020-12-10,0.0,0.92,0.08,0.3818,1
67,2020-12-10,0.0,1.0,0.0,0.0,0
68,2020-12-10,0.0,1.0,0.0,0.0,0
69,2020-12-10,0.0,0.92,0.08,0.3818,1
70,2020-12-10,0.0,0.92,0.08,0.3818,1
71,2020-12-10,0.0,1.0,0.0,0.0,0
72,2020-12-10,0.0,1.0,0.0,0.0,0
73,2020-12-10,0.135,0.865,0.0,-0.7034,-1
74,2020-12-10,0.0,1.0,0.0,0.0,0
75,2020-12-10,0.0,1.0,0.0,0.0,0
76,2020-12-10,0.0,0.954,0.046,0.2023,1
77,2020-12-10,0.196,0.804,0.0,-0.765,-1
78,2020-12-10,0.0,1.0,0.0,0.0,0
79,2020-12-10,0.0,1.0,0.0,0.0,0
80,2020-12-10,0.0,0.885,0.115,0.3818,1
81,2020-12-10,0.0,0.924,0.076,0.5106,1
82,2020-12-10,0.0,0.873,0.127,0.4404,1
83,2020-12-09,0.0,0.873,0.127,0.4404,1
84,2020-12-09,0.133,0.805,0.062,-0.5927,-1
