,Time,neg,neu,pos,compound,Score
0,2020-12-12,0.0,1.0,0.0,0.0,0
1,2020-12-11,0.0,1.0,0.0,0.0,0
2,2020-12-11,0.0,1.0,0.0,0.0,0
3,2020-12-11,0.0,0.842,0.158,0.7003,1
4,2020-12-11,0.0,1.0,0.0,0.0,0
5,2020-12-11,0.115,0.885,0.0,-0.357,-1
6,2020-12-11,0.0,1.0,0.0,0.0,0
7,2020-12-11,0.0,0.82,0.18,0.296,1
8,2020-12-11,0.0,1.0,0.0,0.0,0
9,2020-12-11,0.0,1.0,0.0,0.0,0
10,2020-12-11,0.0,1.0,0.0,0.0,0
11,2020-12-11,0.0,0.877,0.123,0.5983,1
12,2020-12-11,0.181,0.704,0.115,-0.2577,-1
13,2020-12-11,0.0,0.896,0.104,0.2732,1
14,2020-12-11,0.0,1.0,0.0,0.0,0
15,2020-12-11,0.0,1.0,0.0,0.0,0
16,2020-12-10,0.0,0.842,0.158,0.7003,1
17,2020-12-10,0.0,0.787,0.213,0.4019,1
18,2020-12-10,0.0,0.69,0.31,0.4019,1
19,2020-12-10,0.0,0.954,0.046,0.2023,1
20,2020-12-10,0.0,1.0,0.0,0.0,0
21,2020-12-10,0.121,0.879,0.0,-0.357,-1
22,2020-12-10,0.0,0.864,0.136,0.4588,1
23,2020-12-09,0.078,0.922,0.0,-0.5499,-1
24,2020-12-09,0.0,0.787,0.213,0.4019,1
25,2020-12-09,0.0,0.722,0.278,0.4019,1
26,2020-12-09,0.0,0.703,0.297,0.5859,1
27,2020-12-09,0.0,0.917,0.083,0.2023,1
28,2020-12-09,0.0,1.0,0.0,0.0,0
29,2020-12-09,0.0,1.0,0.0,0.0,0
30,2020-12-09,0.0,0.896,0.104,0.296,1
31,2020-12-09,0.0,0.842,0.158,0.7003,1
32,2020-12-09,0.115,0.885,0.0,-0.357,-1
33,2020-12-09,0.0,0.824,0.176,0.4588,1
34,2020-12-09,0.0,0.769,0.231,0.4019,1
35,2020-12-08,0.0,1.0,0.0,0.0,0
36,2020-12-08,0.0,0.842,0.158,0.7003,1
37,2020-12-08,0.0,1.0,0.0,0.0,0
38,2020-12-08,0.0,1.0,0.0,0.0,0
39,2020-12-08,0.0,0.773,0.227,0.6124,1
40,2020-12-08,0.042,0.958,0.0,-0.0772,-1
41,2020-12-07,0.11,0.89,0.0,-0.357,-1
42,2020-12-07,0.0,0.874,0.126,0.4648,1
43,2020-12-07,0.0,0.903,0.097,0.4019,1
44,2020-12-07,0.0,1.0,0.0,0.0,0
45,2020-12-07,0.0,1.0,0.0,0.0,0
46,2020-12-06,0.0,0.864,0.136,0.4588,1
47,2020-12-06,0.0,0.458,0.542,0.9191,1
48,2020-12-06,0.0,0.851,0.149,0.7003,1
49,2020-12-06,0.121,0.879,0.0,-0.357,-1
50,2020-12-06,0.0,1.0,0.0,0.0,0
51,2020-12-05,0.0,0.851,0.149,0.7003,1
52,2020-12-05,0.0,1.0,0.0,0.0,0
53,2020-12-05,0.0,1.0,0.0,0.0,0
54,2020-12-05,0.0,1.0,0.0,0.0,0
