,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.0,0.648,0.352,0.8221,1
1,2020-12-13,0.0,0.861,0.139,0.8051,1
2,2020-12-13,0.0,0.753,0.247,0.7096,1
3,2020-12-13,0.0,0.819,0.181,0.6369,1
4,2020-12-13,0.0,0.682,0.318,0.6369,1
5,2020-12-13,0.0,0.819,0.181,0.6369,1
6,2020-12-13,0.0,0.682,0.318,0.6369,1
7,2020-12-13,0.0,0.82,0.18,0.296,1
8,2020-12-13,0.0,0.82,0.18,0.296,1
9,2020-12-13,0.115,0.885,0.0,-0.357,-1
10,2020-12-13,0.0,0.82,0.18,0.296,1
11,2020-12-13,0.094,0.742,0.164,0.5413,1
12,2020-12-12,0.0,1.0,0.0,0.0,0
13,2020-12-12,0.0,1.0,0.0,0.0,0
14,2020-12-12,0.0,0.905,0.095,0.2263,1
15,2020-12-12,0.092,0.747,0.161,0.5413,1
16,2020-12-12,0.109,0.845,0.046,-0.4767,-1
17,2020-12-12,0.0,0.855,0.145,0.743,1
18,2020-12-12,0.05,0.803,0.147,0.6908,1
19,2020-12-12,0.0,0.778,0.222,0.886,1
20,2020-12-12,0.094,0.742,0.164,0.5413,1
21,2020-12-12,0.0,0.932,0.068,0.4019,1
22,2020-12-12,0.036,0.861,0.102,0.5083,1
23,2020-12-12,0.0,0.773,0.227,0.8402,1
24,2020-12-12,0.0,0.885,0.115,0.6369,1
25,2020-12-12,0.0,0.625,0.375,0.6369,1
26,2020-12-12,0.0,0.861,0.139,0.8051,1
27,2020-12-12,0.0,0.795,0.205,0.7717,1
28,2020-12-12,0.0,0.899,0.101,0.5719,1
29,2020-12-12,0.0,0.861,0.139,0.8051,1
30,2020-12-12,0.0,0.799,0.201,0.8625,1
31,2020-12-12,0.0,0.861,0.139,0.8051,1
32,2020-12-12,0.0,0.861,0.139,0.8051,1
33,2020-12-12,0.0,0.863,0.137,0.6616,1
34,2020-12-12,0.0,0.861,0.139,0.8051,1
35,2020-12-12,0.0,0.953,0.047,0.2924,1
36,2020-12-12,0.0,0.861,0.139,0.8051,1
37,2020-12-12,0.028,0.931,0.042,0.1901,1
38,2020-12-12,0.05,0.803,0.147,0.6908,1
39,2020-12-12,0.0,0.861,0.139,0.8051,1
40,2020-12-12,0.0,0.82,0.18,0.296,1
41,2020-12-12,0.0,0.82,0.18,0.296,1
42,2020-12-12,0.0,0.82,0.18,0.296,1
43,2020-12-12,0.0,0.82,0.18,0.296,1
44,2020-12-12,0.0,1.0,0.0,0.0,0
45,2020-12-12,0.0,0.861,0.139,0.8051,1
46,2020-12-12,0.0,0.877,0.123,0.4215,1
47,2020-12-12,0.121,0.879,0.0,-0.357,-1
48,2020-12-12,0.0,0.914,0.086,0.4404,1
49,2020-12-12,0.05,0.803,0.147,0.6908,1
50,2020-12-12,0.0,0.817,0.183,0.8442,1
51,2020-12-12,0.0,0.882,0.118,0.4767,1
52,2020-12-12,0.0,0.861,0.139,0.8051,1
53,2020-12-12,0.0,0.861,0.139,0.8051,1
54,2020-12-12,0.0,0.861,0.139,0.2732,1
55,2020-12-12,0.0,0.799,0.201,0.8625,1
56,2020-12-12,0.0,0.861,0.139,0.8051,1
57,2020-12-12,0.0,0.923,0.077,0.4404,1
58,2020-12-12,0.109,0.845,0.046,-0.4767,-1
59,2020-12-12,0.024,0.976,0.0,-0.0772,-1
60,2020-12-12,0.0,0.893,0.107,0.4215,1
61,2020-12-12,0.028,0.931,0.042,0.1901,1
62,2020-12-12,0.109,0.787,0.104,-0.0772,-1
63,2020-12-12,0.0,0.953,0.047,0.2924,1
64,2020-12-12,0.123,0.834,0.043,-0.631,-1
65,2020-12-12,0.087,0.83,0.083,-0.0516,-1
66,2020-12-12,0.038,0.826,0.136,0.6897,1
67,2020-12-12,0.0,0.855,0.145,0.743,1
68,2020-12-12,0.0,0.971,0.029,0.0772,1
69,2020-12-12,0.0,0.885,0.115,0.6369,1
70,2020-12-12,0.0,0.882,0.118,0.4767,1
71,2020-12-12,0.0,0.815,0.185,0.807,1
72,2020-12-12,0.0,0.825,0.175,0.8596,1
73,2020-12-12,0.0,0.8,0.2,0.875,1
74,2020-12-12,0.05,0.803,0.147,0.6908,1
75,2020-12-12,0.077,0.786,0.138,0.34,1
76,2020-12-12,0.0,0.864,0.136,0.7713,1
77,2020-12-12,0.0,0.867,0.133,0.6808,1
78,2020-12-12,0.0,0.732,0.268,0.8979,1
79,2020-12-12,0.024,0.976,0.0,-0.0772,-1
80,2020-12-12,0.0,1.0,0.0,0.0,0
81,2020-12-12,0.0,0.756,0.244,0.9055,1
82,2020-12-12,0.0,0.861,0.139,0.8051,1
83,2020-12-11,0.073,0.927,0.0,-0.2808,-1
84,2020-12-11,0.0,1.0,0.0,0.0,0
85,2020-12-11,0.0,0.668,0.332,0.8159,1
86,2020-12-11,0.0,1.0,0.0,0.0,0
87,2020-12-11,0.0,1.0,0.0,0.0,0
88,2020-12-11,0.0,0.83,0.17,0.4767,1
89,2020-12-11,0.0,0.872,0.128,0.296,1
90,2020-12-11,0.0,1.0,0.0,0.0,0
91,2020-12-11,0.0,0.625,0.375,0.6369,1
92,2020-12-11,0.0,1.0,0.0,0.0,0
93,2020-12-11,0.0,1.0,0.0,0.0,0
94,2020-12-11,0.0,1.0,0.0,0.0,0
95,2020-12-11,0.0,1.0,0.0,0.0,0
96,2020-12-11,0.0,1.0,0.0,0.0,0
97,2020-12-11,0.0,1.0,0.0,0.0,0
98,2020-12-11,0.0,0.682,0.318,0.6369,1
99,2020-12-11,0.0,0.95,0.05,0.4019,1
100,2020-12-11,0.0,0.682,0.318,0.6369,1
101,2020-12-11,0.0,0.929,0.071,0.3818,1
102,2020-12-11,0.0,0.819,0.181,0.6369,1
103,2020-12-11,0.0,0.929,0.071,0.3818,1
104,2020-12-11,0.0,1.0,0.0,0.0,0
105,2020-12-11,0.0,1.0,0.0,0.0,0
106,2020-12-11,0.0,0.625,0.375,0.6369,1
107,2020-12-11,0.0,0.625,0.375,0.6369,1
