,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.0,0.873,0.127,0.6037,1
1,2020-12-13,0.0,1.0,0.0,0.0,0
2,2020-12-12,0.0,1.0,0.0,0.0,0
3,2020-12-11,0.0,1.0,0.0,0.0,0
4,2020-12-11,0.0,0.828,0.172,0.4404,1
5,2020-12-11,0.0,0.874,0.126,0.3818,1
6,2020-12-11,0.0,0.82,0.18,0.296,1
7,2020-12-11,0.0,0.794,0.206,0.3818,1
8,2020-12-11,0.0,0.82,0.18,0.296,1
9,2020-12-10,0.0,1.0,0.0,0.0,0
10,2020-12-10,0.0,0.82,0.18,0.296,1
11,2020-12-09,0.0,1.0,0.0,0.0,0
12,2020-12-09,0.0,0.81,0.19,0.4588,1
13,2020-12-09,0.0,0.818,0.182,0.4588,1
14,2020-12-09,0.0,0.948,0.052,0.3182,1
15,2020-12-09,0.0,1.0,0.0,0.0,0
16,2020-12-09,0.0,0.948,0.052,0.3182,1
17,2020-12-09,0.0,1.0,0.0,0.0,0
18,2020-12-08,0.049,0.951,0.0,-0.3182,-1
19,2020-12-08,0.0,0.948,0.052,0.3182,1
20,2020-12-08,0.0,0.948,0.052,0.3182,1
21,2020-12-08,0.0,0.948,0.052,0.3182,1
22,2020-12-08,0.0,0.948,0.052,0.3182,1
23,2020-12-08,0.0,0.948,0.052,0.3182,1
24,2020-12-08,0.0,0.948,0.052,0.3182,1
25,2020-12-08,0.155,0.845,0.0,-0.296,-1
26,2020-12-08,0.0,1.0,0.0,0.0,0
27,2020-12-07,0.0,0.809,0.191,0.5106,1
28,2020-12-07,0.0,0.82,0.18,0.296,1
29,2020-12-06,0.231,0.769,0.0,-0.5106,-1
30,2020-12-05,0.154,0.846,0.0,-0.25,-1
31,2020-12-05,0.0,0.82,0.18,0.296,1
32,2020-12-05,0.126,0.874,0.0,-0.5994,-1
33,2020-12-05,0.0,1.0,0.0,0.0,0
