,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.0,1.0,0.0,0.0,0
1,2020-12-12,0.0,1.0,0.0,0.0,0
2,2020-12-11,0.0,0.93,0.07,0.3595,1
3,2020-12-11,0.0,1.0,0.0,0.0,0
4,2020-12-11,0.0,1.0,0.0,0.0,0
5,2020-12-11,0.0,0.741,0.259,0.7506,1
6,2020-12-10,0.0,0.93,0.07,0.3595,1
7,2020-12-10,0.0,0.93,0.07,0.3595,1
8,2020-12-10,0.0,1.0,0.0,0.0,0
9,2020-12-10,0.0,0.875,0.125,0.25,1
10,2020-12-10,0.059,0.941,0.0,-0.284,-1
11,2020-12-10,0.0,1.0,0.0,0.0,0
12,2020-12-10,0.0,1.0,0.0,0.0,0
13,2020-12-10,0.0,0.943,0.057,0.25,1
14,2020-12-10,0.0,0.82,0.18,0.296,1
15,2020-12-10,0.0,0.82,0.18,0.296,1
16,2020-12-10,0.103,0.637,0.26,0.4939,1
17,2020-12-10,0.0,0.71,0.29,0.6486,1
18,2020-12-10,0.0,0.818,0.182,0.25,1
19,2020-12-10,0.0,0.82,0.18,0.296,1
20,2020-12-10,0.172,0.69,0.138,-0.128,-1
21,2020-12-09,0.0,1.0,0.0,0.0,0
22,2020-12-09,0.0,1.0,0.0,0.0,0
23,2020-12-09,0.0,0.93,0.07,0.3595,1
24,2020-12-09,0.0,0.93,0.07,0.3595,1
25,2020-12-09,0.0,0.846,0.154,0.7845,1
26,2020-12-08,0.0,0.93,0.07,0.3595,1
27,2020-12-08,0.0,0.846,0.154,0.7845,1
28,2020-12-08,0.0,0.846,0.154,0.7845,1
29,2020-12-08,0.0,0.846,0.154,0.7845,1
30,2020-12-08,0.0,0.846,0.154,0.7845,1
31,2020-12-08,0.0,0.846,0.154,0.7845,1
32,2020-12-08,0.0,1.0,0.0,0.0,0
33,2020-12-07,0.0,0.93,0.07,0.3595,1
34,2020-12-07,0.0,1.0,0.0,0.0,0
35,2020-12-07,0.0,0.903,0.097,0.4019,1
36,2020-12-07,0.0,1.0,0.0,0.0,0
37,2020-12-07,0.0,0.93,0.07,0.3595,1
38,2020-12-06,0.0,1.0,0.0,0.0,0
39,2020-12-06,0.0,1.0,0.0,0.0,0
40,2020-12-06,0.0,0.93,0.07,0.3595,1
41,2020-12-06,0.0,0.706,0.294,0.6124,1
42,2020-12-06,0.085,0.831,0.084,-0.0173,-1
43,2020-12-06,0.0,0.93,0.07,0.3595,1
44,2020-12-05,0.0,0.93,0.07,0.3595,1
45,2020-12-05,0.0,0.93,0.07,0.3595,1
46,2020-12-05,0.0,1.0,0.0,0.0,0
47,2020-12-05,0.0,1.0,0.0,0.0,0
48,2020-12-05,0.0,0.93,0.07,0.3595,1
49,2020-12-05,0.0,0.932,0.068,0.5661,1
50,2020-12-05,0.0,0.932,0.068,0.5661,1
51,2020-12-05,0.0,0.93,0.07,0.3595,1
52,2020-12-05,0.122,0.819,0.059,-0.1531,-1
