,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.11,0.89,0.0,-0.357,-1
1,2020-12-13,0.121,0.879,0.0,-0.357,-1
2,2020-12-13,0.0,1.0,0.0,0.0,0
3,2020-12-12,0.0,0.885,0.115,0.296,1
4,2020-12-11,0.0,0.933,0.067,0.5267,1
5,2020-12-11,0.0,0.853,0.147,0.6124,1
6,2020-12-11,0.0,1.0,0.0,0.0,0
7,2020-12-11,0.0,1.0,0.0,0.0,0
8,2020-12-11,0.126,0.74,0.134,0.1189,1
9,2020-12-11,0.0,1.0,0.0,0.0,0
10,2020-12-11,0.0,1.0,0.0,0.0,0
11,2020-12-11,0.0,1.0,0.0,0.0,0
12,2020-12-11,0.0,1.0,0.0,0.0,0
13,2020-12-11,0.102,0.898,0.0,-0.3612,-1
14,2020-12-11,0.0,1.0,0.0,0.0,0
15,2020-12-11,0.385,0.615,0.0,-0.3612,-1
16,2020-12-11,0.0,0.872,0.128,0.296,1
17,2020-12-11,0.238,0.762,0.0,-0.3612,-1
18,2020-12-10,0.0,0.853,0.147,0.6124,1
19,2020-12-10,0.0,0.872,0.128,0.296,1
20,2020-12-10,0.115,0.885,0.0,-0.357,-1
21,2020-12-09,0.0,0.853,0.147,0.6124,1
22,2020-12-09,0.0,0.872,0.128,0.296,1
23,2020-12-09,0.104,0.896,0.0,-0.2732,-1
24,2020-12-09,0.149,0.851,0.0,-0.2732,-1
25,2020-12-09,0.127,0.873,0.0,-0.357,-1
26,2020-12-08,0.0,0.853,0.147,0.6124,1
27,2020-12-08,0.0,0.789,0.211,0.34,1
28,2020-12-08,0.0,0.455,0.545,0.8126,1
29,2020-12-08,0.0,0.885,0.115,0.296,1
30,2020-12-07,0.0,1.0,0.0,0.0,0
31,2020-12-07,0.0,0.824,0.176,0.4588,1
32,2020-12-07,0.0,0.921,0.079,0.2023,1
33,2020-12-07,0.0,1.0,0.0,0.0,0
34,2020-12-06,0.0,1.0,0.0,0.0,0
35,2020-12-06,0.0,0.827,0.173,0.6908,1
36,2020-12-06,0.0,1.0,0.0,0.0,0
37,2020-12-06,0.0,1.0,0.0,0.0,0
38,2020-12-06,0.0,1.0,0.0,0.0,0
39,2020-12-05,0.141,0.859,0.0,-0.3182,-1
40,2020-12-05,0.0,0.827,0.173,0.6908,1
41,2020-12-05,0.0,1.0,0.0,0.0,0
