,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.08,0.92,0.0,-0.5267,-1
1,2020-12-13,0.08,0.92,0.0,-0.5267,-1
2,2020-12-13,0.0,1.0,0.0,0.0,0
3,2020-12-13,0.08,0.92,0.0,-0.5267,-1
4,2020-12-13,0.0,1.0,0.0,0.0,0
5,2020-12-13,0.0,1.0,0.0,0.0,0
6,2020-12-13,0.0,0.82,0.18,0.296,1
7,2020-12-13,0.0,0.922,0.078,0.5106,1
8,2020-12-13,0.0,0.922,0.078,0.5106,1
9,2020-12-12,0.0,1.0,0.0,0.0,0
10,2020-12-12,0.0,1.0,0.0,0.0,0
11,2020-12-12,0.0,1.0,0.0,0.0,0
12,2020-12-12,0.0,1.0,0.0,0.0,0
13,2020-12-12,0.039,0.743,0.219,0.9029,1
14,2020-12-12,0.039,0.743,0.219,0.9029,1
15,2020-12-12,0.039,0.743,0.219,0.9029,1
16,2020-12-12,0.039,0.743,0.219,0.9029,1
17,2020-12-12,0.0,1.0,0.0,0.0,0
18,2020-12-12,0.0,1.0,0.0,0.0,0
19,2020-12-12,0.0,1.0,0.0,0.0,0
20,2020-12-12,0.0,1.0,0.0,0.0,0
21,2020-12-12,0.0,0.864,0.136,0.4588,1
22,2020-12-11,0.0,0.82,0.18,0.296,1
23,2020-12-11,0.0,0.75,0.25,0.8402,1
24,2020-12-11,0.038,0.932,0.03,-0.1154,-1
25,2020-12-11,0.0,1.0,0.0,0.0,0
26,2020-12-11,0.0,0.867,0.133,0.4588,1
27,2020-12-10,0.08,0.92,0.0,-0.5267,-1
28,2020-12-10,0.08,0.92,0.0,-0.5267,-1
29,2020-12-10,0.08,0.92,0.0,-0.5267,-1
30,2020-12-10,0.08,0.92,0.0,-0.5267,-1
31,2020-12-10,0.08,0.92,0.0,-0.5267,-1
32,2020-12-10,0.0,1.0,0.0,0.0,0
33,2020-12-10,0.0,1.0,0.0,0.0,0
34,2020-12-10,0.0,1.0,0.0,0.0,0
35,2020-12-10,0.0,0.839,0.161,0.3612,1
36,2020-12-10,0.0,0.903,0.097,0.4019,1
37,2020-12-10,0.056,0.899,0.045,-0.128,-1
38,2020-12-10,0.0,1.0,0.0,0.0,0
39,2020-12-10,0.0,1.0,0.0,0.0,0
40,2020-12-10,0.172,0.69,0.138,-0.128,-1
41,2020-12-10,0.0,1.0,0.0,0.0,0
42,2020-12-10,0.0,0.922,0.078,0.5106,1
43,2020-12-10,0.08,0.92,0.0,-0.1027,-1
44,2020-12-10,0.0,0.924,0.076,0.34,1
45,2020-12-09,0.0,1.0,0.0,0.0,0
46,2020-12-09,0.0,1.0,0.0,0.0,0
47,2020-12-09,0.0,1.0,0.0,0.0,0
48,2020-12-09,0.0,1.0,0.0,0.0,0
49,2020-12-09,0.0,1.0,0.0,0.0,0
50,2020-12-09,0.193,0.807,0.0,-0.5106,-1
51,2020-12-09,0.193,0.807,0.0,-0.5106,-1
52,2020-12-08,0.102,0.794,0.104,0.0258,1
53,2020-12-08,0.0,0.762,0.238,0.8001,1
54,2020-12-08,0.0,1.0,0.0,0.0,0
55,2020-12-08,0.0,1.0,0.0,0.0,0
56,2020-12-08,0.0,1.0,0.0,0.0,0
57,2020-12-08,0.0,0.903,0.097,0.4019,1
58,2020-12-08,0.041,0.959,0.0,-0.296,-1
59,2020-12-08,0.078,0.922,0.0,-0.4215,-1
60,2020-12-08,0.08,0.92,0.0,-0.5267,-1
61,2020-12-08,0.0,0.762,0.238,0.8001,1
62,2020-12-08,0.0,0.834,0.166,0.8001,1
63,2020-12-07,0.0,0.721,0.279,0.8647,1
64,2020-12-07,0.08,0.92,0.0,-0.5267,-1
65,2020-12-07,0.08,0.92,0.0,-0.5267,-1
66,2020-12-07,0.0,1.0,0.0,0.0,0
67,2020-12-07,0.0,1.0,0.0,0.0,0
68,2020-12-07,0.0,1.0,0.0,0.0,0
69,2020-12-07,0.0,1.0,0.0,0.0,0
70,2020-12-07,0.0,0.762,0.238,0.8001,1
71,2020-12-07,0.078,0.922,0.0,-0.4215,-1
72,2020-12-07,0.0,0.847,0.153,0.2023,1
73,2020-12-07,0.0,0.762,0.238,0.8001,1
74,2020-12-07,0.0,0.762,0.238,0.8001,1
75,2020-12-07,0.0,0.762,0.238,0.8001,1
76,2020-12-07,0.0,0.762,0.238,0.8001,1
77,2020-12-07,0.0,0.82,0.18,0.296,1
78,2020-12-07,0.078,0.922,0.0,-0.4215,-1
79,2020-12-07,0.0,0.922,0.078,0.5106,1
80,2020-12-06,0.0,0.762,0.238,0.8001,1
81,2020-12-06,0.0,0.762,0.238,0.8001,1
82,2020-12-06,0.0,1.0,0.0,0.0,0
83,2020-12-06,0.115,0.885,0.0,-0.357,-1
84,2020-12-06,0.078,0.922,0.0,-0.4215,-1
85,2020-12-06,0.0,0.762,0.238,0.8001,1
86,2020-12-06,0.0,0.762,0.238,0.8001,1
87,2020-12-06,0.0,0.77,0.23,0.8001,1
88,2020-12-06,0.0,0.77,0.23,0.8001,1
89,2020-12-06,0.0,0.77,0.23,0.8001,1
90,2020-12-06,0.0,0.77,0.23,0.8001,1
91,2020-12-06,0.0,0.77,0.23,0.8001,1
92,2020-12-06,0.0,0.77,0.23,0.8001,1
93,2020-12-06,0.0,0.77,0.23,0.8001,1
94,2020-12-06,0.0,0.77,0.23,0.8001,1
95,2020-12-06,0.0,0.77,0.23,0.8001,1
96,2020-12-06,0.0,0.762,0.238,0.8001,1
97,2020-12-06,0.0,0.762,0.238,0.8001,1
98,2020-12-06,0.0,0.762,0.238,0.8001,1
99,2020-12-06,0.0,0.762,0.238,0.8001,1
100,2020-12-06,0.0,0.762,0.238,0.8001,1
101,2020-12-06,0.0,0.762,0.238,0.8001,1
102,2020-12-06,0.0,0.762,0.238,0.8001,1
103,2020-12-05,0.0,0.79,0.21,0.8001,1
104,2020-12-05,0.0,0.784,0.216,0.8001,1
105,2020-12-05,0.0,0.784,0.216,0.8001,1
106,2020-12-05,0.08,0.92,0.0,-0.5267,-1
107,2020-12-05,0.08,0.92,0.0,-0.5267,-1
108,2020-12-05,0.0,1.0,0.0,0.0,0
109,2020-12-05,0.0,1.0,0.0,0.0,0
110,2020-12-05,0.0,0.758,0.242,0.9034,1
111,2020-12-05,0.0,0.762,0.238,0.8001,1
112,2020-12-05,0.0,1.0,0.0,0.0,0
113,2020-12-05,0.0,0.941,0.059,0.296,1
114,2020-12-05,0.0,0.77,0.23,0.8001,1
