,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.0,0.728,0.272,0.8225,1
1,2020-12-13,0.0,1.0,0.0,0.0,0
2,2020-12-13,0.0,0.888,0.112,0.34,1
3,2020-12-13,0.0,1.0,0.0,0.0,0
4,2020-12-13,0.0,1.0,0.0,0.0,0
5,2020-12-13,0.0,1.0,0.0,0.0,0
6,2020-12-13,0.0,0.906,0.094,0.4019,1
7,2020-12-13,0.0,1.0,0.0,0.0,0
8,2020-12-13,0.0,0.906,0.094,0.4019,1
9,2020-12-13,0.1,0.747,0.153,0.4234,1
10,2020-12-13,0.0,0.816,0.184,0.4019,1
11,2020-12-12,0.1,0.747,0.153,0.4234,1
12,2020-12-12,0.0,1.0,0.0,0.0,0
13,2020-12-12,0.106,0.768,0.127,0.25,1
14,2020-12-12,0.0,1.0,0.0,0.0,0
15,2020-12-12,0.0,0.9,0.1,0.4201,1
16,2020-12-12,0.0,1.0,0.0,0.0,0
17,2020-12-12,0.0,0.828,0.172,0.4019,1
18,2020-12-12,0.0,0.906,0.094,0.4019,1
19,2020-12-12,0.0,1.0,0.0,0.0,0
20,2020-12-12,0.0,1.0,0.0,0.0,0
21,2020-12-12,0.039,0.736,0.225,0.8439,1
22,2020-12-12,0.0,1.0,0.0,0.0,0
23,2020-12-12,0.0,1.0,0.0,0.0,0
24,2020-12-12,0.0,1.0,0.0,0.0,0
25,2020-12-12,0.0,1.0,0.0,0.0,0
26,2020-12-12,0.052,0.948,0.0,-0.2732,-1
27,2020-12-11,0.128,0.872,0.0,-0.296,-1
28,2020-12-11,0.0,1.0,0.0,0.0,0
29,2020-12-11,0.0,1.0,0.0,0.0,0
30,2020-12-11,0.0,1.0,0.0,0.0,0
31,2020-12-11,0.106,0.768,0.127,0.25,1
32,2020-12-11,0.0,1.0,0.0,0.0,0
33,2020-12-11,0.0,0.906,0.094,0.4019,1
34,2020-12-11,0.0,1.0,0.0,0.0,0
35,2020-12-11,0.0,0.906,0.094,0.4019,1
36,2020-12-11,0.0,0.906,0.094,0.4019,1
37,2020-12-11,0.0,0.906,0.094,0.4019,1
38,2020-12-11,0.0,1.0,0.0,0.0,0
39,2020-12-11,0.0,1.0,0.0,0.0,0
40,2020-12-11,0.0,0.955,0.045,0.2023,1
41,2020-12-11,0.0,0.903,0.097,0.4019,1
42,2020-12-11,0.0,1.0,0.0,0.0,0
43,2020-12-11,0.0,1.0,0.0,0.0,0
44,2020-12-11,0.0,0.905,0.095,0.5423,1
45,2020-12-11,0.0,0.905,0.095,0.5423,1
46,2020-12-11,0.0,0.905,0.095,0.5423,1
47,2020-12-11,0.0,0.905,0.095,0.5423,1
48,2020-12-11,0.04,0.904,0.056,0.1531,1
49,2020-12-11,0.0,0.905,0.095,0.5423,1
50,2020-12-11,0.069,0.846,0.085,0.128,1
51,2020-12-11,0.04,0.904,0.056,0.1531,1
52,2020-12-11,0.0,0.905,0.095,0.5423,1
53,2020-12-11,0.056,0.808,0.136,0.4939,1
54,2020-12-11,0.069,0.846,0.085,0.128,1
55,2020-12-11,0.0,1.0,0.0,0.0,0
56,2020-12-11,0.102,0.805,0.093,-0.1027,-1
57,2020-12-11,0.0,0.958,0.042,0.2023,1
58,2020-12-10,0.0,1.0,0.0,0.0,0
59,2020-12-10,0.0,0.717,0.283,0.7717,1
60,2020-12-10,0.075,0.864,0.061,-0.1779,-1
61,2020-12-10,0.112,0.888,0.0,-0.34,-1
62,2020-12-10,0.0,1.0,0.0,0.0,0
63,2020-12-10,0.0,1.0,0.0,0.0,0
64,2020-12-10,0.0,1.0,0.0,0.0,0
65,2020-12-10,0.0,0.784,0.216,0.8052,1
66,2020-12-10,0.0,1.0,0.0,0.0,0
67,2020-12-10,0.0,1.0,0.0,0.0,0
68,2020-12-10,0.313,0.645,0.042,-0.9172,-1
69,2020-12-10,0.0,1.0,0.0,0.0,0
70,2020-12-10,0.091,0.909,0.0,-0.3595,-1
71,2020-12-10,0.091,0.909,0.0,-0.3595,-1
72,2020-12-10,0.179,0.821,0.0,-0.5859,-1
73,2020-12-10,0.0,1.0,0.0,0.0,0
74,2020-12-10,0.0,1.0,0.0,0.0,0
75,2020-12-10,0.0,1.0,0.0,0.0,0
76,2020-12-10,0.106,0.768,0.127,0.25,1
77,2020-12-10,0.0,0.851,0.149,0.7579,1
78,2020-12-10,0.053,0.742,0.206,0.802,1
79,2020-12-10,0.0,1.0,0.0,0.0,0
80,2020-12-10,0.0,0.895,0.105,0.4767,1
81,2020-12-10,0.074,0.619,0.307,0.9371,1
82,2020-12-10,0.0,0.895,0.105,0.4767,1
83,2020-12-10,0.284,0.655,0.061,-0.872,-1
84,2020-12-10,0.053,0.742,0.206,0.802,1
85,2020-12-10,0.075,0.864,0.061,-0.1779,-1
86,2020-12-10,0.0,0.851,0.149,0.7579,1
87,2020-12-10,0.106,0.768,0.127,0.25,1
88,2020-12-10,0.0,1.0,0.0,0.0,0
89,2020-12-10,0.0,1.0,0.0,0.0,0
90,2020-12-10,0.0,1.0,0.0,0.0,0
91,2020-12-10,0.075,0.864,0.061,-0.1779,-1
92,2020-12-10,0.0,1.0,0.0,0.0,0
93,2020-12-10,0.0,1.0,0.0,0.0,0
94,2020-12-10,0.0,1.0,0.0,0.0,0
95,2020-12-10,0.106,0.768,0.127,0.25,1
96,2020-12-10,0.083,0.795,0.121,0.25,1
97,2020-12-10,0.116,0.741,0.144,0.1531,1
98,2020-12-10,0.053,0.742,0.206,0.802,1
99,2020-12-10,0.0,0.851,0.149,0.7579,1
100,2020-12-10,0.158,0.729,0.113,-0.296,-1
101,2020-12-10,0.075,0.864,0.061,-0.1779,-1
102,2020-12-10,0.053,0.742,0.206,0.802,1
103,2020-12-10,0.075,0.864,0.061,-0.1779,-1
104,2020-12-10,0.0,1.0,0.0,0.0,0
105,2020-12-10,0.106,0.768,0.127,0.25,1
106,2020-12-10,0.284,0.655,0.061,-0.872,-1
107,2020-12-10,0.0,1.0,0.0,0.0,0
108,2020-12-10,0.0,1.0,0.0,0.0,0
109,2020-12-10,0.0,0.955,0.045,0.2023,1
110,2020-12-10,0.0,0.954,0.046,0.2023,1
111,2020-12-10,0.0,0.954,0.046,0.2023,1
112,2020-12-10,0.118,0.882,0.0,-0.5267,-1
113,2020-12-10,0.0,0.936,0.064,0.296,1
114,2020-12-10,0.097,0.903,0.0,-0.4588,-1
115,2020-12-10,0.189,0.811,0.0,-0.8462,-1
116,2020-12-10,0.0,0.909,0.091,0.4939,1
117,2020-12-10,0.106,0.768,0.127,0.25,1
118,2020-12-10,0.0,1.0,0.0,0.0,0
119,2020-12-10,0.0,1.0,0.0,0.0,0
120,2020-12-10,0.106,0.768,0.127,0.25,1
121,2020-12-10,0.161,0.782,0.057,-0.5423,-1
122,2020-12-10,0.0,1.0,0.0,0.0,0
123,2020-12-10,0.0,0.847,0.153,0.7837,1
124,2020-12-10,0.0,0.895,0.105,0.4767,1
125,2020-12-10,0.0,0.847,0.153,0.7837,1
126,2020-12-10,0.083,0.853,0.064,-0.2263,-1
127,2020-12-10,0.118,0.882,0.0,-0.5267,-1
128,2020-12-10,0.189,0.811,0.0,-0.8462,-1
